Start Station Name,End Station Name,Count,Total Duration
Fullum / Marie-Anne,Place Valois (Valois / Ontario),9,8751747
Fullum / Marie-Anne,Bernard / Jeanne-Mance,20,25299109
Fullum / Marie-Anne,Métro Rosemont (de St-Vallier / Rosemont),11,13882992
Fullum / Marie-Anne,Villeray / De Normanville,5,84090902
Ontario / Ville-Marie,Dorion / Ontario,19,19226191
Ontario / Ville-Marie,Métro Viau (Pierre-de-Coubertin / Viau),40,16807759
Ontario / Ville-Marie,Place Valois (Valois / Ontario),18,87114748
Ottawa / William,Métro Lionel-Groulx (St-Jacques / Atwater),34,20101793
Ottawa / William,Atwater / Greene,4,2483141
Fullum / Marie-Anne,Aylwin / Ontario,27,23813721
Fullum / Marie-Anne,Square Viger (Berri / Viger),36,82145318
Fullum / Marie-Anne,15e avenue / Laurier,29,39960450
Fullum / Marie-Anne,du Mont-Royal / Clark,14,12493096
Fullum / Marie-Anne,de l'Hôtel-de-Ville / Rachel,10,7670307
Ontario / Ville-Marie,Aylwin / Ontario,14,9658842
Ottawa / William,St-Patrick / Thomas-Keefer,3,1712129
Fullum / Marie-Anne,Métro Frontenac (Ontario / du Havre),61,30410376
Fullum / Marie-Anne,Métro Mont-Royal (Utilités publiques / Rivard),61,43581879
Fullum / Marie-Anne,Marché St-Jacques (Atateken),16,20126694
Fullum / Marie-Anne,Rachel / de Brébeuf,4,2190991
Fullum / Marie-Anne,Métro Papineau (Dorion / De Maisonneuve),13,8934468
Fullum / Marie-Anne,Collège de Rosemont (Beaubien / 15e avenue),2,2475608
Ontario / Ville-Marie,Marché Maisonneuve (Ontario / Morgan),24,7351897
Ontario / Ville-Marie,Métro Mont-Royal (Utilités publiques / Rivard),3,7267955
Ottawa / William,de la Montagne / Notre-Dame,27,7051434
Fullum / Marie-Anne,de Maisonneuve / Mansfield (sud),3,4768627
Fullum / Marie-Anne,Peel / Notre-Dame,25,45404136
Fullum / Marie-Anne,Ste-Catherine / Union,7,10410050
Fullum / Marie-Anne,des Érables / Laurier,31,12769759
Fullum / Marie-Anne,du Havre / Hochelaga,23,9616147
Fullum / Marie-Anne,Viger / Chenneville,6,9042948
Fullum / Marie-Anne,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),4,3765758
Fullum / Marie-Anne,du Parc-Lafontaine / Rachel,9,4735785
