name,number,num,thefts,collisions,bicycle_commuters,average_income,bikeshare_stations,bike_parking_racks
Mount Dennis,115,115,28,12,0.006472492,39760,2,1
Steeles,116,116,16,7,0.009786477,39520,0,2
Tam O'Shanter-Sullivan,118,118,49,10,0.003861004,43280,0,1
Wexford/Maryvale,119,119,121,24,0.003763441,44040,1,0
Clairlea-Birchmount,120,120,126,5,0.00472255,46600,6,0
Oakridge,121,121,100,2,0.005442177,36560,6,0
Birchcliffe-Cliffside,122,122,113,17,0.013354281,68400,10,1
Cliffcrest,123,123,40,2,0.004301075,53600,5,0
Kennedy Park,124,124,72,10,0.001913876,39880,1,0
Ionview,125,125,23,10,0.010180995,40200,1,0
Dorset Park,126,126,68,2,0.003764115,40080,0,0
Agincourt South-Malvern West,128,128,65,2,0.003324468,41600,0,0
Agincourt North,129,129,22,3,0.006966434,38480,0,0
Milliken,130,130,23,2,0.005388761,36800,0,0
Centennial Scarborough,133,133,21,4,0,63700,0,0
Highland Creek,134,134,55,6,0.00244798,48080,1,0
Morningside,135,135,15,2,0.004314064,41640,2,0
West Hill,136,136,150,2,0.003966006,40920,3,0
Eglinton East,138,138,52,6,0.001413428,39880,2,0
Scarborough Village,139,139,46,11,0.002074689,41920,5,0
Guildwood,140,140,25,5,0.006085193,59750,2,0
Golfdale-Cedarbrae-Woburn,141,141,66,5,0,38640,1,0
Woburn North,142,142,42,16,0.003571429,40000,3,0
West Rouge,143,143,80,14,0,54650,3,0
Morningside Heights,144,144,20,6,0,42000,0,0
Malvern West,145,145,26,12,0.002575107,37040,0,0
Malvern East,146,146,40,9,0.004076878,39760,0,0
L'Amoreaux West,147,147,51,55,0.003286771,42680,0,0
East L'Amoreaux,148,148,26,30,0.004038772,39440,0,0
Parkwoods-O'Connor Hills,149,149,19,28,0.005174644,59600,0,0
Fenside-Parkwoods,150,150,41,13,0.00312256,45960,0,0
Yonge-Doris,151,151,271,37,0.003045685,51450,1,0
East Willowdale,152,152,85,15,0.005730659,61500,0,0
Avondale,153,153,131,61,0,62500,2,1
Oakdale-Beverley Heights,154,154,82,22,0.001919386,41160,1,0
Downsview,155,155,56,7,0.002994012,46040,3,0
Bendale-Glen Andrew,156,156,68,9,0.00280112,42520,1,1
Bendale South,157,157,28,7,0.002836879,41280,0,0
Islington,158,158,81,5,0.009084027,71400,2,0
Etobicoke City Centre,159,159,139,16,0.003757044,57750,2,0
Mimico-Queensway,160,160,203,16,0.011707317,62050,6,2
Humber Bay Shores,161,161,312,6,0.012829651,72900,7,1
West Queen West,162,162,572,19,0.064469914,89300,17,4
Fort York-Liberty Village,163,163,608,11,0.041441441,76100,23,1
Wellington Place,164,164,1226,59,0.038834951,89800,22,26
Harbourfront-CityPlace,165,165,1139,30,0.03460972,73100,21,6
St Lawrence-East Bayfront-The Islands,166,166,1379,37,0.0468029,79700,31,5
Church-Wellesley,167,167,901,13,0.041666667,56700,14,3
Downtown Yonge East,168,168,1965,43,0.045243619,66700,19,21
Bay-Cloverhill,169,169,610,21,0.032122905,66300,11,0
Yonge-Bay Corridor,170,170,1735,80,0.038580247,68200,47,29
Junction-Wallace Emerson,171,171,445,25,0.050541516,54350,13,9
Dovercourt Village,172,172,288,10,0.113018598,55850,6,7
North Toronto,173,173,219,0,0.033039648,58100,3,0
South Eglinton-Davisville,174,174,333,11,0.018166804,69000,10,0
